rank,name,year,rating,genre,certificate,run_time,tagline,budget,box_office,casts,directors,writers
14,Inception,2010,8.8,"Action,Adventure,Sci-Fi",PG-13,148.0,Your mind is the scene of the crime,160000000,836848102,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,Tom Hardy,Dileep Rao,Cillian Murphy,Tom Berenger,Marion Cotillard,Pete Postlethwaite,Michael Caine,Lukas Haas,Tai-Li Lee,Claire Geare,Magnus Nolan,Taylor Geare,Johnathan Geare,Tohoru Masamune",Christopher Nolan,Christopher Nolan
41,The Prestige,2006,8.5,"Drama,Mystery,Sci-Fi",PG-13,130.0,A Friendship That Became a Rivalry.,40000000,109676311,"Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,Piper Perabo,Rebecca Hall,Samantha Mahurin,David Bowie,Andy Serkis,Daniel Davis,Jim Piddock,Christopher Neame,Mark Ryan,Roger Rees,Jamie Harris,Monty Stuart,Ron Perkins,Ricky Jay",Christopher Nolan,"Jonathan Nolan,Christopher Nolan,Christopher Priest"
